x (cm),data 200,data 400,data 600,fit 200, fit 400, fit 600
-6.500000e-02,-1.303810e-02,-1.339037e-02,-1.379879e-02,-1.376188e-02,-1.375948e-02,-1.367049e-02
-6.000000e-02,-1.371597e-02,-1.545000e-02,-1.488446e-02,-1.376127e-02,-1.371733e-02,-1.317938e-02
-5.500000e-02,-1.666457e-02,-1.804569e-02,-1.160904e-02,-1.373829e-02,-1.330102e-02,-1.110893e-02
-5.000000e-02,-1.875086e-02,-1.308707e-02,-3.520840e-04,-1.336285e-02,-1.085996e-02,-4.712610e-03
-4.500000e-02,-1.250156e-02,1.641413e-04,1.146611e-02,-1.035246e-02,-1.712508e-03,1.036918e-02
-4.000000e-02,2.310905e-03,2.490553e-02,3.771088e-02,2.899901e-03,2.170535e-02,3.853423e-02
-3.500000e-02,4.175412e-02,6.563725e-02,7.921717e-02,3.827601e-02,6.519427e-02,8.159889e-02
-3.000000e-02,1.047478e-01,1.235843e-01,1.325417e-01,1.007874e-01,1.269868e-01,1.371005e-01
-2.500000e-02,1.834474e-01,1.903458e-01,1.926562e-01,1.796968e-01,1.973436e-01,1.988721e-01
-2.000000e-02,2.619506e-01,2.583018e-01,2.524740e-01,2.555688e-01,2.640435e-01,2.593123e-01
-1.500000e-02,3.255886e-01,3.170411e-01,3.068497e-01,3.140281e-01,3.181709e-01,3.117051e-01
-1.000000e-02,3.621024e-01,3.591412e-01,3.485239e-01,3.512936e-01,3.560691e-01,3.514289e-01
-5.000000e-03,3.737219e-01,3.817125e-01,3.750677e-01,3.706067e-01,3.778609e-01,3.759591e-01
0.000000e+00,3.761795e-01,3.877949e-01,3.844684e-01,3.764190e-01,3.849002e-01,3.842256e-01
