% Model,coilgun_constantPM_splitPM.mph
% Version,COMSOL 5.6.0.401
% Date,"Mar 24 2022, 13:25"
% Table,Table 9 - Total energy
% projectilePos (m),turns,Magnetic energy (J)
-0.08,100,5.0454114232761915
-0.08,200,5.039863601786429
-0.08,300,5.064984722387437
-0.08,400,5.116487700138817
-0.08,500,5.2281401750208225
-0.08,600,5.2714945817248875
-0.08,700,5.2533237736600435
-0.08,800,5.300341087700774
-0.075,100,5.042171110833808
-0.075,200,5.030117481098781
-0.075,300,5.079699259086956
-0.075,400,5.123275839611484
-0.075,500,5.230307116673998
-0.075,600,5.286236400662789
-0.075,700,5.269228185791897
-0.075,800,5.327983889106721
-0.07,100,5.04681347288734
-0.07,200,5.046200641767658
-0.07,300,5.085618657466654
-0.07,400,5.134940762573086
-0.07,500,5.238826045060057
-0.07,600,5.276268678870496
-0.07,700,5.279188318072168
-0.07,800,5.3281706092048475
-0.065,100,5.0422912956894725
-0.065,200,5.038361630470336
-0.065,300,5.084969521215755
-0.065,400,5.122341088940179
-0.065,500,5.238311398401947
-0.065,600,5.285192307700768
-0.065,700,5.263255221817538
-0.065,800,5.311613938603431
-0.06,100,5.062391759443996
-0.06,200,5.063035603434443
-0.06,300,5.091966101991378
-0.06,400,5.142477428802117
-0.06,500,5.238570602111158
-0.06,600,5.303523153340766
-0.06,700,5.285792972267329
-0.06,800,5.332111948014589
-0.055,100,5.057923110530499
-0.055,200,5.056349078161103
-0.055,300,5.092099718813506
-0.055,400,5.123274408196199
-0.055,500,5.253260756760206
-0.055,600,5.2959939111809256
-0.055,700,5.286632493951911
-0.055,800,5.355669306065378
-0.05,100,5.066951301195713
-0.05,200,5.094033663015587
-0.05,300,5.100473962696772
-0.05,400,5.159743084180997
-0.05,500,5.255444730151831
-0.05,600,5.303874465818652
-0.05,700,5.3351654527812205
-0.05,800,5.398676532857555
-0.045,100,5.101351405655814
-0.045,200,5.092674127844203
-0.045,300,5.167834373484794
-0.045,400,5.220203178405052
-0.045,500,5.291621641019525
-0.045,600,5.340130262853124
-0.045,700,5.3510312218831135
-0.045,800,5.380921614446464
-0.04,100,5.105902089090641
-0.04,200,5.141679120301774
-0.04,300,5.176908129495031
-0.04,400,5.197556917748803
-0.04,500,5.253982395221474
-0.04,600,5.266139375797367
-0.04,700,5.274498102665238
-0.04,800,5.2993516792618305
-0.035,100,5.155617637558567
-0.035,200,5.101405398722844
-0.035,300,5.094857998760422
-0.035,400,5.103578700345922
-0.035,500,5.130856723981238
-0.035,600,5.139971122418711
-0.035,700,5.165109245220496
-0.035,800,5.185970723913357
-0.03,100,5.020376886580852
-0.03,200,4.932662740869436
-0.03,300,4.90432496341091
-0.03,400,4.919017414654601
-0.03,500,4.929715215429042
-0.03,600,4.9511241312438266
-0.03,700,4.98079143124472
-0.03,800,5.009585662976926
-0.025,100,4.737945988877277
-0.025,200,4.6480382363368
-0.025,300,4.631142381410572
-0.025,400,4.657413751010812
-0.025,500,4.691592125470305
-0.025,600,4.73422416463605
-0.025,700,4.787208413026607
-0.025,800,4.840899188362927
-0.020000000000000004,100,4.321704191702152
-0.020000000000000004,200,4.299481062970639
-0.020000000000000004,300,4.345701290537591
-0.020000000000000004,400,4.41311910484435
-0.020000000000000004,500,4.49406864426992
-0.020000000000000004,600,4.575347736988302
-0.020000000000000004,700,4.660483587402615
-0.020000000000000004,800,4.739314801378062
-0.015,100,3.9738821650807408
-0.015,200,4.058270990417973
-0.015,300,4.187015965490639
-0.015,400,4.316971060773282
-0.015,500,4.439610829089402
-0.015,600,4.553375384249904
-0.015,700,4.661063629454438
-0.015,800,4.760072190941322
-0.009999999999999995,100,3.934951331664611
-0.009999999999999995,200,4.116296091595124
-0.009999999999999995,300,4.28942397590904
-0.009999999999999995,400,4.443600903338
-0.009999999999999995,500,4.579716634553874
-0.009999999999999995,600,4.70163943997552
-0.009999999999999995,700,4.811702530443938
-0.009999999999999995,800,4.910367046014716
-0.0050000000000000044,100,4.428352903479836
-0.0050000000000000044,200,4.55169742519224
-0.0050000000000000044,300,4.682015632243461
-0.0050000000000000044,400,4.803993109071136
-0.0050000000000000044,500,4.912137989685673
-0.0050000000000000044,600,5.00935141462059
-0.0050000000000000044,700,5.096829031891863
-0.0050000000000000044,800,5.175747020877955
0,100,5.226854490080017
0,200,5.225597365783841
0,300,5.262031850140007
0,400,5.307783516544383
0,500,5.355011068083079
0,600,5.403352853372759
0,700,5.45023622452142
0,800,5.495392900969769
