% Model,coilgun_constantPM_splitPM.mph
% Version,COMSOL 5.6.0.401
% Date,"Mar 24 2022, 19:28"
% Table,Probe Table 8 - 
% turns,coilgap (m),"Magnetic energy density (J), Total magnetic energy",2*mf.intWm/coilCurrent^2 (H)
100,0.006,2.3419206684473806,4.684774589837524E-4
100,0.008,2.251692507302491,4.5043182723698936E-4
100,0.01,2.1831970756707433,4.3673273919722134E-4
100,0.012,2.1305915727500677,4.2621164119248893E-4
100,0.014,2.0895707784034854,4.1800748544723463E-4
100,0.016,2.0574634636278506,4.1158602635001E-4
200,0.006,2.32097488017153,0.0018574382797383834
200,0.008,2.241159269227178,0.0017935858050170956
200,0.01,2.177888592499955,0.0017429692726907543
200,0.012,2.1273330377368915,0.0017025248369993825
200,0.014,2.086669997026767,0.0016699944475355667
200,0.016,2.053650663598316,0.0016435790243668103
300,0.006,2.346772702817751,0.004226379790728186
300,0.008,2.27239435746375,0.004092498760919546
300,0.01,2.212031812951323,0.00398384624609776
300,0.012,2.162420638351743,0.0038945462848589294
300,0.014,2.121784097830294,0.0038214006369198575
300,0.016,2.0881144662297166,0.0037607954341625158
400,0.006,2.3861363627580054,0.007640908879642417
400,0.008,2.3148546931461667,0.007412807405924143
400,0.01,2.2564194861414615,0.007225815010533039
400,0.012,2.2074964609687147,0.007069261571546237
400,0.014,2.166910520550045,0.006939386869844908
400,0.016,2.1326938790538676,0.006829894245600477
500,0.006,2.429853685562751,0.012159854388697851
500,0.008,2.3610067019599517,0.011815619684057895
500,0.01,2.303736771232384,0.011529270388525035
500,0.012,2.255545974900143,0.011288317146426842
500,0.014,2.2148990234879973,0.011085083101909286
500,0.016,2.180300292394463,0.010912090728486012
600,0.006,2.4750861840259417,0.017839511874828948
600,0.008,2.40792685563157,0.017355964698563927
600,0.01,2.3516210394180233,0.01695056398142678
600,0.012,2.3039046997676493,0.01660700806155377
600,0.014,2.263108338514382,0.01631327587842997
600,0.016,2.2282990830724527,0.016062651789981217
700,0.006,2.520169114353502,0.02472869067139341
700,0.008,2.454438494483459,0.024084531418226935
700,0.01,2.3989917879906444,0.023541155080215134
700,0.012,2.3515944845418333,0.02307666404421161
700,0.014,2.310843961485814,0.022677313850531147
700,0.016,2.275634699274077,0.022332266800293613
800,0.006,2.564704444356802,0.03287615211071983
800,0.008,2.500286000455688,0.03205159751052304
800,0.01,2.445398183636183,0.031349037234081896
800,0.012,2.3982410676501322,0.030745431598228873
800,0.014,2.357485483787694,0.03022376743970159
800,0.016,2.3220259107781978,0.0297698922120961
