v0 (m/s),n (hundratal),deltav (m/s),eta (%), Dx (cm)
0.000000e+00,6.878609e+00,4.103626e+00,4.009463e+00,3.365941e+00
5.000000e-01,6.437116e+00,3.879464e+00,4.507072e+00,3.532973e+00
1.000000e+00,6.035312e+00,3.669768e+00,4.953983e+00,3.672325e+00
1.500000e+00,5.670328e+00,3.473578e+00,5.353923e+00,3.787552e+00
2.000000e+00,5.335686e+00,3.290205e+00,5.711017e+00,3.882325e+00
2.500000e+00,5.027727e+00,3.119102e+00,6.029596e+00,3.959926e+00
3.000000e+00,4.743853e+00,2.959760e+00,6.313986e+00,4.023438e+00
3.500000e+00,4.481136e+00,2.811652e+00,6.568323e+00,4.074465e+00
4.000000e+00,4.238733e+00,2.674206e+00,6.796434e+00,4.116092e+00
4.500000e+00,4.014737e+00,2.546803e+00,7.001771e+00,4.149502e+00
5.000000e+00,3.807779e+00,2.428797e+00,7.187386e+00,4.176381e+00
5.500000e+00,3.616793e+00,2.319524e+00,7.355940e+00,4.198166e+00
6.000000e+00,3.440153e+00,2.218324e+00,7.509728e+00,4.215680e+00
6.500000e+00,3.276911e+00,2.124558e+00,7.650713e+00,4.229798e+00
7.000000e+00,3.125919e+00,2.037610e+00,7.780572e+00,4.241176e+00
7.500000e+00,2.986138e+00,1.956905e+00,7.900729e+00,4.250354e+00
8.000000e+00,2.856591e+00,1.881906e+00,8.012394e+00,4.257758e+00
8.500000e+00,2.736609e+00,1.812115e+00,8.116599e+00,4.263874e+00
9.000000e+00,2.624767e+00,1.747079e+00,8.214218e+00,4.268595e+00
9.500000e+00,2.521082e+00,1.686385e+00,8.306002e+00,4.272725e+00
1.000000e+01,2.423967e+00,1.629655e+00,8.392590e+00,4.275623e+00
